Data,Produto,Razão Não Conformidade,Tipo Não Conformidade,Rejeição (S/N),,,,,,,,
02/04/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
02/04/2019,Bacalhau Islândia Crescido,Peso,Minor,N,,,,,,,,
01/04/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
01/04/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
29/03/2019,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
28/03/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
28/03/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
28/03/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
27/03/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
27/03/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
27/03/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
26/03/2019,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
26/03/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
26/03/2019,Bacalhau Islândia Graúdo,Peso,Minor,N,,,,,,,,
23/03/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
23/03/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
22/03/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
22/03/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
22/03/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
21/03/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
21/03/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
19/03/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
19/03/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
19/03/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
19/03/2019,Bacalhau Crescido,Defeitos escala,Major,N,,,,,,,,
15/03/2019,Línguas,Temperatura elevada,Major,N,,,,,,,,
15/03/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
14/03/2019,Bacalhau Sortido 1-2,Peso,Minor,N,,,,,,,,
14/03/2019,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
13/03/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
13/03/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
12/03/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
12/03/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
12/03/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
07/03/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
04/03/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
04/03/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
01/03/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
27/02/2019,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
27/02/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
26/02/2019,Bacalhau Islândia Graúdo,Peso,Minor,S,,,,,,,,
26/02/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
25/02/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
25/02/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
22/02/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
21/02/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
21/02/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
20/02/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
19/02/2019,Bacalhau Sortido 1-2,Peso,Minor,N,,,,,,,,
19/02/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
19/02/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
15/02/2019,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
15/02/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
13/02/2019,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
13/02/2019,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
13/02/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
12/02/2019,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
12/02/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
08/02/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
08/02/2019,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
08/02/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
06/02/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
