,,,,,,,,,,,
,,,,,,,,,,,
Data,Temperatura Receção Logística (ºC),Conformidade Temp Receção,Conformidade Temp Receção HACCP,NC por Tº elevada (S/N),,,,,,,
14/05/2020,6.90,C,C,N,,,,,,,
13/05/2020,6.20,C,C,N,,,,,,,
12/05/2020,8.10,NC,C,N,,,,,,,
11/05/2020,7.80,NC,C,N,,,,,,,
08/05/2020,7.20,NC,C,N,,,,,,,
07/05/2020,9.80,NC,NC,N,,,,,,,
06/05/2020,11.30,NC,NC,N,,,,,,,
05/05/2020,7.30,NC,C,N,,,,,,,
04/05/2020,7.30,NC,C,N,,,,,,,
30/04/2020,7.40,NC,C,N,,,,,,,
29/04/2020,8.80,NC,C,N,,,,,,,
28/04/2020,9.60,NC,NC,N,,,,,,,
27/04/2020,8.80,NC,C,N,,,,,,,
24/04/2020,7.40,NC,C,N,,,,,,,
23/04/2020,6.90,C,C,N,,,,,,,
22/04/2020,7.40,NC,C,N,,,,,,,
21/04/2020,7.40,NC,C,N,,,,,,,
20/04/2020,7.30,NC,C,N,,,,,,,
16/04/2020,7.90,NC,C,N,,,,,,,
15/04/2020,8.00,NC,C,N,,,,,,,
14/04/2020,8.40,NC,C,N,,,,,,,
13/04/2020,7.60,NC,C,N,,,,,,,
09/04/2020,9.20,NC,NC,N,,,,,,,
08/04/2020,8.00,NC,C,N,,,,,,,
07/04/2020,7.80,NC,C,N,,,,,,,
06/04/2020,9.40,NC,NC,N,,,,,,,
03/04/2020,8.70,NC,C,N,,,,,,,
02/04/2020,5.90,C,C,N,,,,,,,
01/04/2020,6.70,C,C,N,,,,,,,
31/03/2020,7.10,NC,C,N,,,,,,,
27/03/2020,8.50,NC,C,N,,,,,,,
26/03/2020,8.60,NC,C,N,,,,,,,
25/03/2020,5.50,C,C,N,,,,,,,
24/03/2020,9.70,NC,NC,N,,,,,,,
23/03/2020,9.80,NC,NC,N,,,,,,,
20/03/2020,8.40,NC,C,N,,,,,,,
19/03/2020,8.70,NC,C,N,,,,,,,
18/03/2020,8.40,NC,C,N,,,,,,,
17/03/2020,9.80,NC,NC,N,,,,,,,
16/03/2020,7.20,NC,C,N,,,,,,,
13/03/2020,8.50,NC,C,N,,,,,,,
12/03/2020,8.20,NC,C,N,,,,,,,
11/03/2020,6.10,C,C,N,,,,,,,
10/03/2020,5.80,C,C,N,,,,,,,
04/03/2020,10.20,NC,NC,N,,,,,,,
03/03/2020,9.20,NC,NC,N,,,,,,,
02/03/2020,8.10,NC,C,N,,,,,,,
28/02/2020,10.90,NC,NC,N,,,,,,,
26/02/2020,8.00,NC,C,N,,,,,,,
24/02/2020,10.90,NC,NC,N,,,,,,,
